1	3810K	deu	German 4 	3810K	IE, Germanic
2	2849K	jpn	Japanese 8 	2849K	Japanese
3	2227K	ces	Czech 5 	2227K	IE, Slavic
4	1832K	rus	Russian 4 	1832K	IE, Slavic
5	1296K	por	Portuguese 5 	1296K	IE, Romance
6	1208K	fra	French 8 	1208K	IE, Romance
7	1183K	isl	Icelandic 4 	1183K	IE, Germanic
8	1042K	ara	Arabic 3 	1042K	Afro-Asiatic, Semitic
9	1022K	spa	Spanish 3 	1022K	IE, Romance
10	977K	lat	Latin 5 	977K	IE, Italic
11	937K	ron	Romanian 4 	937K	IE, Romance
12	879K	ita	Italian 9 	879K	IE, Romance
13	762K	eng	English 9 	762K	IE, Germanic
14	736K	tur	Turkish 9 	736K	Turkic, Southwestern
15	666K	nor	Norwegian 3 	666K	IE, Germanic
16	654K	per	Persian 2 	654K	IE, Iranian
17	553K	cat	Catalan 1 	553K	IE, Romance
18	528K	est	Estonian 2 	528K	Uralic, Finnic
19	499K	pol	Polish 3 	499K	IE, Slavic
20	446K	kor	Korean 3 	446K	Korean
21	416K	grc	Ancient Greek 2 	416K	IE, Greek
22	397K	fin	Finnish 4 	397K	Uralic, Finnic
23	375K	hin	Hindi 2 	375K	IE, Indic
24	310K	_	Classical Chinese 1 	310K	Sino-Tibetan
25	306K	nld	Dutch 2 	306K	IE, Germanic
26	305K	bel	Belarusian 1 	305K	IE, Slavic
27	302K	heb	Hebrew 2 	302K	Afro-Asiatic, Semitic
28	296K	slv	Slovenian 2 	296K	IE, Slavic
29	287K	zho	Chinese 6 	287K	Sino-Tibetan
30	286K	lat	Latvian 1 	286K	IE, Baltic
31	228K	_	Old East Slavic 4 	228K	IE, Slavic
32	206K	swe	Swedish 3 	206K	IE, Germanic
33	199K	_	Old French 1 	199K	IE, Romance
34	199K	hrv	Croatian 1 	199K	IE, Slavic
35	169K	ind	Indonesian 3 	169K	Austronesian, Malayo-Sumbawan
36	164K	glg	Galician 2 	164K	IE, Romance
37	156K	bul	Bulgarian 1 	156K	IE, Slavic
38	140K	_	Naija 1 	140K	Creole
39	138K	urd	Urdu 1 	138K	IE, Indic
40	135K	gle	Irish 3 	135K	IE, Celtic
41	122K	_	Western Armenian 1 	122K	IE, Armenian
42	122K	ukr	Ukrainian 1 	122K	IE, Slavic
43	121K	eus	Basque 1 	121K	Basque
44	106K	slk	Slovak 1 	106K	IE, Slavic
45	100K	dan	Danish 1 	100K	IE, Germanic
46	97K	srp	Serbian 1 	97K	IE, Slavic
47	94K	hye	Armenian 2 	94K	IE, Armenian
48	89K	gla	Scottish Gaelic 1 	89K	IE, Celtic
49	86K	_	Pomak 1 	86K	IE, Slavic
50	75K	lit	Lithuanian 2 	75K	IE, Baltic
51	63K	ell	Greek 1 	63K	IE, Greek
52	57K	_	Old Church Slavonic 1 	57K	IE, Slavic
53	55K	_	Gothic 1 	55K	IE, Germanic
54	55K	_	Coptic 1 	55K	Afro-Asiatic, Egyptian
55	50K	fao	Faroese 2 	50K	IE, Germanic
56	49K	afr	Afrikaans 1 	49K	IE, Germanic
57	48K	cym	Welsh 1 	48K	IE, Celtic
58	44K	wol	Wolof 1 	44K	Niger-Congo, Northern Atlantic
59	44K	mlt	Maltese 1 	44K	Afro-Asiatic, Semitic
60	43K	vie	Vietnamese 1 	43K	Austro-Asiatic, Viet-Muong
61	42K	hun	Hungarian 1 	42K	Uralic, Ugric
62	40K	uig	Uyghur 1 	40K	Turkic, Southeastern
63	39K	hbo	Ancient Hebrew 1 	39K	Afro-Asiatic, Semitic
64	37K	_	Turkish German 1 	37K	Code switching
65	28K	_	Sanskrit 2 	28K	IE, Indic
66	26K	sme	North Sami 1 	26K	Uralic, Sami
67	26K	_	Hindi English 1 	26K	Code switching
68	25K	_	Akkadian 2 	25K	Afro-Asiatic, Semitic
69	22K	tha	Thai 1 	22K	Tai-Kadai
70	20K	glv	Manx 1 	20K	IE, Celtic
71	20K	myv	Erzya 1 	20K	Uralic, Mordvin
72	15K	sjo	Xibe 1 	15K	Tungusic
73	15K	aln	Gheg 1 	15K	IE, Albanian
74	13K	gun	Mbya Guarani 2 	13K	Tupian, Maweti-Guarani
75	13K	_	Cantonese 1 	13K	Sino-Tibetan
76	13K	bam	Bambara 1 	13K	Mande
77	12K	tam	Tamil 2 	12K	Dravidian
78	11K	hsb	Upper Sorbian 1 	11K	IE, Slavic
79	10K	nhi	Western S.P. Nahuatl 1 	10K	Uto-Aztecan
80	10K	kmr	Kurmanji 1 	10K	IE, Iranian
81	10K	kpv	Komi Zyrian 2 	10K	Uralic, Permic
82	10K	quc	Kiche 1 	10K	Mayan
83	10K	kaz	Kazakh 1 	10K	Turkic, Northwestern
84	10K	bxr	Buryat 1 	10K	Mongolic
85	10K	bre	Breton 1 	10K	IE, Celtic
86	10K	amh	Amharic 1 	10K	Afro-Asiatic, Semitic
87	9K	gub	Guajajara 1 	9K	Tupian, Maweti-Guarani
88	8K	yor	Yoruba 1 	8K	Niger-Congo, Defoid
89	7K	_	Zaar 1 	7K	Afro-Asiatic, West Chadic 
90	7K	kir	Kyrgyz 1 	7K 	Turkic, Northwestern 
91	6K	tel	Telugu 1 	6K	Dravidian
92	6K	lij	Ligurian 1 	6K	IE, Romance
93	6K	ckt	Chukchi 1 	6K	Chukotko-Kamchatkan
94	6K	bho	Bhojpuri 1 	6K	IE, Indic
95	4K	tpn	Tupinamba 1 	4K	Tupian, Maweti-Guarani
96	3K	mdf	Moksha 1 	3K	Uralic, Mordvin
97	3K	mar	Marathi 1 	3K	IE, Indic
98	3K	krl	Karelian 1 	3K	Uralic, Finnic
99	3K	_	Frisian Dutch 1 	3K	Code switching
100	2K	ess	Yupik 1 	2K	Eskimo-Aleut
101	2K	tat	Tatar 1 	2K	Turkic, Northwestern
102	2K	sms	Skolt Sami 1 	2K	Uralic, Sami
103	2K	_	Nheengatu 1 	2K	Tupian, Maweti-Guarani
104	2K	nds	Low Saxon 1 	2K	IE, Germanic
105	2K	arr	Karo 1 	2K	Tupian, Ramarama
106	2K	xnr	Kangri 1 	2K	IE, Indic
107	2K	jav	Javanese 1 	2K	Austronesian, Javanese
108	1K	sah	Yakut 1 	1K	Turkic, Northeastern
109	1K	_	Teko 1 	1K	Tupian, Maweti-Guarani
110	1K	tgl	Tagalog 2 	1K	Austronesian, Central Philippine
111	1K	gsw	Swiss German 1 	1K	IE, Germanic
112	1K	swl	Swedish Sign Language 1 	1K	Sign Language
113	1K	myu	Munduruku 1 	1K	Tupian, Munduruku
114	1K	olo	Livvi 1 	1K	Uralic, Finnic
115	1K	koi	Komi Permyak 1 	1K	Uralic, Permic
116	1K	_	Hittite 1 	1K	IE, Anatolian
117	1K	ceb	Cebuano 1 	1K	Austronesian, Central Philippine
118	1K	aqz	Akuntsu 1 	1K	Tupian, Tupari
119	<1K	xav	Xavante 1 	<1K	Macro-Je
120	<1K	wbp	Warlpiri 1 	<1K	Pama-Nyungan
121	<1K	xum	Umbrian 1 	<1K	IE, Italic
122	<1K	ajp	South Levantine Arabic 1 	<1K	Afro-Asiatic, Semitic
123	<1K	soj	Soi 1 	<1K	IE, Iranian
124	<1K	sin	Sinhala 1 	<1K	IE, Indic
125	<1K	_	Old Turkish 1 	<1K	Turkic, Northeastern
126	<1K	nap	Neapolitan 1 	<1K	IE, Romance
127	<1K	nyq	Nayini 1 	<1K	IE, Iranian
128	<1K	mal	Malayalam 1 	<1K	Dravidian
129	<1K	mpu	Makurap 1 	<1K	Tupian, Tupari
130	<1K	grg	Madi 1 	<1K	Arawan
131	<1K	kfm	Khunsari 1 	<1K	IE, Iranian
132	<1K	uks	Kaapor 1 	<1K	Tupian, Maweti-Guarani
133	<1K	grn	Guarani 1 	<1K	Tupian, Maweti-Guarani
134	<1K	ben	Bengali 1 	<1K	IE, Indic
135	<1K	bej	Beja 1 	<1K	Afro-Asiatic, Cushitic
136	<1K	_	Assyrian 1 	<1K	Afro-Asiatic, Semitic
137	<1K	apu	Apurina 1 	<1K	Arawakan
138	<1K	sqi	Albanian 1 	<1K	IE, Albanian
139	<1K	abq	Abaza 1 	<1K	Northwest Caucasian
140	<1K	sga	Old Irish 2 	<1K 	IE, Celtic 
141	<1K	bor	Bororo 1 	<1K 	Bororoan 
