#code	lat	long
ara	
fas	
zho	
grn	-25.416667	-54.633333
est	59.437222	24.745278
nhi	20.06	-97.90
ess	63.43	-170.27
abq	42.0	44.25
afr	30.0	-22.0
aii	43.0	36.75
ajp	38.0837	31.5601
akk	44.1	33.1
aln	21.3837	42.317
amh	39.543456	11.708182
apu	-66.7714	-8.21692
aqz	-60.9716	-12.8322
arr	-61.5691	-10.3342
bam	-7.65	12.9
bej	36.6666	17.2436
bel	25.6038	53.2307
ben	90.0	24.0
bho	84.817115	26.458455
bre	-3.78934	48.2452
bul	25.047	43.3646
bxr	105.5637	50.85331
cat	1.569	41.453
ceb	124.367	8.38799
ces	15.10437	49.873398
chu	22.8442	43.7171
ckt	170.045	68.6436
cop	31.2053	29.472
cym	-4.0	52.0
dan	9.36284	54.8655
deu	12.4676	48.649
ell	23.13	38.36
eme	-52.3699	3.23694
eng	-1.0	53.0
ess	-170.272	63.4308
eus	-1.31622	43.2787
fao	-6.88497	62.0732
fin	25.5577	64.7628
fra	2.0	48.0
fro	1.11	48.8
fry	5.86091	53.143
gla	-5.24366	56.7574
gle	-7.61509	53.2186
glg	-7.5343	42.2446
glv	-4.45437	54.2604
got	29.9786	46.9304
grc	21.9129	39.8155
grg	146.407	-5.63017
gsw	8.46419	47.0516
gub	-45.7081	-4.69461
gun	-52.711	-26.0188
hbo	35.1725	31.7761
heb	35.0179	31.1056
hin	77.0	25.0
hit	35.0	40.0
hrv	15.982	45.555
hsb	14.4098	51.2403
hun	19.6555271429	46.9068585714
hye	45.0	40.0
hyw	44.4839	40.1897
ind	109.716	-7.33458
isl	-19.0212	63.4837
ita	12.6489	43.0464
jav	109.287	-7.001
jpn	135.0	35.0
kaz	71.454	51.17
kfm	49.3742	36.6963
kmr	43.0	37.0
koi	54.7959	59.6602
kor	126.98	37.54
kpv	54.946	64.0527
krl	30.8655	65.1691
lat	12.4502	41.9026
lav	24.309118	56.826108
lij	7.90522	44.0816
lit	23.9601	55.1429
lzh	109.05	34.09
mal	76.7651	9.59208
mar	76.6665	17.9344
mdf	42.6728	54.1855
mlt	14.4508	35.8884
mpu	-64.3201	-11.8701
myu	-57.691	-8.41095
myv	45.3901	52.8548
nap	16.4225	39.2288
nds	12.391439	53.115373
nhi	-97.8974	20.0581
nld	5.0	52.0
nor	10.71	59.92
nyq	53.521	34.2212
olo	29.0726	61.6565
orv	31.827	54.813
otk	59.0	37.0
pcm	4.21068	9.65873
pol	18.6255	51.8439
por	-8.1	39.91
quc	-91.1696	14.5278
ron	24.2256	46.3913
rus	50.0	59.0
sah	133.98031	61.69744
san	77.0	20.0
say	9.71748	9.69441
sin	81.0	8.0
sjo	81.0034	43.5854
slk	18.78479	48.545705
slv	14.7766	46.2543
sme	22.1113	68.725
sms	29.7204	68.8326
soj	54.5964	31.8542
spa	-1.11788	40.4414
sqi	20.0	41.0
srp	21.9192	44.3238
swe	17.389526	59.800634
swl	16.1133	58.929
tam	78.825989	10.520219
tat	49.11577	55.79592
tel	78.7024	16.4529
tgl	121.747	14.06
tha	100.671	14.192
tpn	-42.106389	-22.807778
tur	32.8667	39.8667
uig	87.38	43.88
ukr	29.945	49.796
urb	-46.2204	-2.46455
urd	67.0	25.0
vie	105.774071	20.681188
wbp	131.05	-20.1008
wol	-15.383	15.2534
xav	-52.4367	-14.3017
xnr	76.366	31.915
xum	13.02	42.75
yor	3.67225	7.15345
yrl	-66.9646	1.04503
yue	113.0	23.0
