tab:blue	o	1.0	10	hun spa eng swe ces ita gle deu fra fin
tab:blue	o	1.1	8	dan heb hrv fas ind eus ell bul
tab:orange	s	1.2	15	por grc tam lat got chu slv nld ron ara pol jpn nor est hin
tab:orange	s	1.3	7	lav rus glg kaz tur zho cat
tab:red		^	1.4	7	slk san ukr vie cop uig swl
tab:red		^	2.0	4	bel urd lit kor
tab:green	o	2.1	9	tel bxr mar srp sme hsb afr kmr yue
tab:green	o	2.2	11	hye tgl pcm yor fao wbp tha fro amh bre kpv
tab:pink	s	2.3	4	mlt akk myv bam
tab:pink	s	2.4	7	aii krl lzh orv gun cym wol
tab:olive	^	2.5	7	bho koi gsw gla olo sms mdf
tab:olive	^	2.6	2	sqi isl
tab:purple	o	2.7	11	aqz kfm soj tpn apu ajp ckt nyq glv myu otk
tab:purple	o	2.8	10	gub ess fry mpu nds hyw xnr urb quc bej
tab:brown	s	2.9	8	nap lij tat arr sah jav sjo ben
tab:brown	s	2.10	7	ceb grg hit hbo xum grn eme
tab:cyan	^	2.11	8	xav mal sin nhi aln abq yrl say
